Variant,Sent,Opened,Clicked
G3,8/13/13 14:19,8/13/13 15:02,0
F3,8/13/13 14:19,0,0
F2,8/13/13 14:19,0,0
A1,8/13/13 14:19,8/13/13 14:26,0
H4,8/13/13 14:19,8/13/13 14:21,0
A2,8/13/13 14:19,0,0
C3,8/13/13 14:19,0,0
B2,8/13/13 14:19,0,0
B4,8/13/13 14:19,0,0
C1,8/13/13 14:19,0,0
C2,8/13/13 14:19,0,0
G4,8/13/13 14:19,8/13/13 20:51,0
G2,8/13/13 14:19,0,0
A3,8/13/13 14:19,0,0
F2,8/13/13 14:19,0,0
A1,8/13/13 14:19,0,0
B3,8/13/13 14:19,8/13/13 16:02,0
A1,8/13/13 14:19,0,0
E4,8/13/13 14:19,0,0
B1,8/13/13 14:19,0,0
H1,8/13/13 14:19,0,0
F1,8/13/13 14:19,0,0
A1,8/13/13 14:19,0,0
G4,8/13/13 14:19,8/14/13 5:24,0
A2,8/13/13 14:19,0,0
G2,8/13/13 14:19,0,0
G3,8/13/13 14:19,0,0
B4,8/13/13 14:19,0,0
C3,8/13/13 14:19,8/13/13 14:23,0
H2,8/13/13 14:19,8/15/13 5:28,0
F3,8/13/13 14:19,0,0
F3,8/13/13 14:19,0,0
E3,8/13/13 14:19,0,0
D3,8/13/13 14:19,0,0
C1,8/13/13 14:19,0,0
B2,8/13/13 14:19,0,0
D4,8/13/13 14:19,8/13/13 14:34,0
A3,8/13/13 14:19,0,0
F2,8/13/13 14:19,8/13/13 23:10,0
D4,8/13/13 14:19,8/13/13 16:59,0
F3,8/13/13 14:19,0,0
H2,8/13/13 14:19,8/16/13 17:51,0
B1,8/13/13 14:19,0,0
F4,8/13/13 14:19,0,0
D3,8/13/13 14:19,0,0
A4,8/13/13 14:19,0,0
E3,8/13/13 14:19,0,0
G3,8/13/13 14:19,0,0
F3,8/13/13 14:19,8/13/13 15:03,0
D4,8/13/13 14:19,8/13/13 15:35,0
C3,8/13/13 14:19,0,0
F1,8/13/13 14:19,0,0
E1,8/13/13 14:19,0,0
F2,8/13/13 14:19,0,0
F4,8/13/13 14:19,8/13/13 21:09,0
C2,8/13/13 14:19,0,0
D4,8/13/13 14:19,0,0
A3,8/13/13 14:19,0,0
E3,8/13/13 14:19,8/13/13 16:37,0
D3,8/13/13 14:19,8/13/13 14:21,0
H4,8/13/13 14:19,0,0
B4,8/13/13 14:19,0,0
C3,8/13/13 14:19,0,0
A3,8/13/13 14:19,8/13/13 17:09,0
D4,8/13/13 14:19,0,0
A1,8/13/13 14:19,0,0
D3,8/13/13 14:19,0,0
D4,8/13/13 14:19,0,0
E4,8/13/13 14:19,0,0
C2,8/13/13 14:19,0,0
C4,8/13/13 14:19,0,0
A4,8/13/13 14:19,8/14/13 6:47,0
H2,8/13/13 14:19,8/14/13 5:49,0
H1,8/13/13 14:19,0,0
C4,8/13/13 14:19,0,0
A4,8/13/13 14:19,0,0
E1,8/13/13 14:19,0,0
H4,8/13/13 14:19,0,0
C2,8/13/13 14:19,8/13/13 14:23,0
A3,8/13/13 14:19,0,0
E3,8/13/13 14:19,0,0
B1,8/13/13 14:19,0,0
D2,8/13/13 14:19,0,0
C4,8/13/13 14:19,9/25/13 10:18,0
A4,8/13/13 14:19,8/13/13 14:50,0
H1,8/13/13 14:19,0,0
E2,8/13/13 14:19,0,0
D1,8/13/13 14:19,0,0
H2,8/13/13 14:19,8/13/13 17:40,0
F2,8/13/13 14:19,8/13/13 14:20,0
B3,8/13/13 14:19,0,0
C4,8/13/13 14:19,0,0
B2,8/13/13 14:19,0,0
E3,8/13/13 14:19,0,0
E4,8/13/13 14:19,0,8/13/13 15:48
A2,8/13/13 14:19,8/13/13 14:29,0
A4,8/13/13 14:19,0,0
B2,8/13/13 14:19,0,0
G1,8/13/13 14:19,0,0
B2,8/13/13 14:19,8/13/13 14:34,0
F4,8/13/13 14:19,0,0
C2,8/13/13 14:19,0,0
F2,8/13/13 14:19,8/13/13 15:01,0
G4,8/13/13 14:19,9/18/13 2:24,0
B1,8/13/13 14:19,0,0
G2,8/13/13 14:19,0,0
C3,8/13/13 14:19,0,0
A1,8/13/13 14:19,0,0
B2,8/13/13 14:19,8/13/13 14:37,0
H4,8/13/13 14:19,0,0
C3,8/13/13 14:19,0,0
H3,8/13/13 14:19,0,0
D1,8/13/13 14:19,0,0
G1,8/13/13 14:19,8/16/13 13:04,0
B3,8/13/13 14:19,0,0
E1,8/13/13 14:19,0,0
C2,8/13/13 14:19,8/14/13 12:36,0
D1,8/13/13 14:19,0,0
H3,8/13/13 14:19,0,0
E4,8/13/13 14:19,0,0
C3,8/13/13 14:19,0,0
E2,8/13/13 14:19,0,0
H4,8/13/13 14:19,8/13/13 14:34,0
H4,8/13/13 14:19,8/15/13 19:04,0
H2,8/13/13 14:19,0,0
A3,8/13/13 14:19,0,0
A2,8/13/13 14:19,0,0
C1,8/13/13 14:19,0,0
D1,8/13/13 14:19,0,0
A3,8/13/13 14:19,8/13/13 14:21,0
E1,8/13/13 14:19,0,0
E4,8/13/13 14:19,0,0
D3,8/13/13 14:19,8/13/13 15:26,0
D2,8/13/13 14:19,0,0
E3,8/13/13 14:19,0,0
A3,8/13/13 14:19,0,0
G3,8/13/13 14:19,0,0
G1,8/13/13 14:19,8/13/13 15:00,0
F3,8/13/13 14:19,0,0
E4,8/13/13 14:19,8/13/13 17:02,0
G3,8/13/13 14:19,0,0
E1,8/13/13 14:19,0,0
F2,8/13/13 14:19,0,0
D1,8/13/13 14:19,8/13/13 17:07,0
D3,8/13/13 14:19,0,0
E3,8/13/13 14:19,0,0
C3,8/13/13 14:19,0,0
D4,8/13/13 14:19,0,0
H4,8/13/13 14:19,0,0
E3,8/13/13 14:19,0,0
F4,8/13/13 14:19,0,0
G2,8/13/13 14:19,0,0
G2,8/13/13 14:19,0,0
G3,8/13/13 14:19,8/13/13 16:37,0
H2,8/13/13 14:19,0,0
D2,8/13/13 14:19,8/13/13 15:27,0
E4,8/13/13 14:19,8/13/13 18:35,0
A2,8/13/13 14:19,8/13/13 17:34,8/13/13 17:34
F2,8/13/13 14:19,0,0
E2,8/13/13 14:20,0,0
D4,8/13/13 14:20,8/13/13 16:14,0
H1,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
E1,8/13/13 14:20,8/14/13 6:38,0
E4,8/13/13 14:20,8/13/13 15:22,0
C4,8/13/13 14:20,0,0
E3,8/13/13 14:20,0,0
E2,8/13/13 14:20,0,0
F1,8/13/13 14:20,0,0
A2,8/13/13 14:20,8/13/13 15:53,0
F2,8/13/13 14:20,0,0
E3,8/13/13 14:20,0,0
D4,8/13/13 14:20,0,0
A2,8/13/13 14:20,8/13/13 21:37,0
A2,8/13/13 14:20,0,0
F4,8/13/13 14:20,0,8/13/13 15:06
B2,8/13/13 14:20,8/13/13 18:59,0
D4,8/13/13 14:20,0,0
H2,8/13/13 14:20,0,0
B4,8/13/13 14:20,0,0
B4,8/13/13 14:20,8/13/13 17:10,0
G4,8/13/13 14:20,8/13/13 15:11,0
A4,8/13/13 14:20,8/13/13 14:38,0
G2,8/13/13 14:20,0,0
H1,8/13/13 14:20,0,0
E1,8/13/13 14:20,8/13/13 18:26,0
A3,8/13/13 14:20,0,0
E1,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
H2,8/13/13 14:20,8/13/13 15:06,0
A3,8/13/13 14:20,8/13/13 14:26,0
E2,8/13/13 14:20,0,0
A2,8/13/13 14:20,0,0
F3,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
C2,8/13/13 14:20,8/13/13 14:54,0
B2,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
F4,8/13/13 14:20,0,0
H2,8/13/13 14:20,8/13/13 15:16,0
F2,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
F3,8/13/13 14:20,8/13/13 21:14,8/13/13 21:15
C2,8/13/13 14:20,8/14/13 3:39,0
E4,8/13/13 14:20,0,0
C2,8/13/13 14:20,8/13/13 15:04,0
H4,8/13/13 14:20,8/13/13 14:35,0
A2,8/13/13 14:20,8/13/13 14:23,0
F1,8/13/13 14:20,0,0
F3,8/13/13 14:20,0,0
E2,8/13/13 14:20,0,0
F4,8/13/13 14:20,0,0
B1,8/13/13 14:20,0,0
E4,8/13/13 14:20,0,0
H3,8/13/13 14:20,0,0
E3,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
D4,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
G4,8/13/13 14:20,8/13/13 14:20,0
D1,8/13/13 14:20,8/13/13 16:54,0
B3,8/13/13 14:20,8/13/13 14:22,8/14/13 5:32
A4,8/13/13 14:20,8/14/13 11:08,0
A4,8/13/13 14:20,0,0
A2,8/13/13 14:20,8/15/13 13:26,0
D2,8/13/13 14:20,0,0
H1,8/13/13 14:20,8/13/13 19:38,0
D4,8/13/13 14:20,0,0
G1,8/13/13 14:20,8/13/13 14:54,0
D3,8/13/13 14:20,8/13/13 15:24,0
E3,8/13/13 14:20,8/13/13 16:26,0
F1,8/13/13 14:20,8/13/13 18:01,8/13/13 18:02
D2,8/13/13 14:20,0,0
E1,8/13/13 14:20,0,0
G4,8/13/13 14:20,0,0
F3,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
H4,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
A3,8/13/13 14:20,8/13/13 14:42,0
E4,8/13/13 14:20,0,0
E4,8/13/13 14:20,0,0
D1,8/13/13 14:20,0,0
B1,8/13/13 14:20,8/13/13 15:05,0
A1,8/13/13 14:20,0,0
D1,8/13/13 14:20,0,0
D4,8/13/13 14:20,0,0
G4,8/13/13 14:20,8/15/13 9:15,0
E3,8/13/13 14:20,8/13/13 15:08,0
E1,8/13/13 14:20,0,0
H2,8/13/13 14:20,8/13/13 15:34,0
D1,8/13/13 14:20,8/13/13 16:18,0
B2,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
C4,8/13/13 14:20,0,0
A4,8/13/13 14:20,0,0
E4,8/13/13 14:20,0,0
H4,8/13/13 14:20,0,0
C4,8/13/13 14:20,8/13/13 21:16,0
F3,8/13/13 14:20,0,0
F1,8/13/13 14:20,8/13/13 15:40,0
B4,8/13/13 14:20,0,0
G3,8/13/13 14:20,0,0
E2,8/13/13 14:20,0,0
F2,8/13/13 14:20,8/13/13 15:49,0
C2,8/13/13 14:20,8/13/13 14:26,8/14/13 8:03
G3,8/13/13 14:20,8/13/13 15:45,0
C2,8/13/13 14:20,9/26/13 13:22,9/26/13 13:23
A2,8/13/13 14:20,8/28/13 20:34,8/28/13 20:35
E1,8/13/13 14:20,0,0
F3,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
F3,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
A2,8/13/13 14:20,0,0
F1,8/13/13 14:20,0,0
G3,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
G1,8/13/13 14:20,8/13/13 14:45,0
A2,8/13/13 14:20,0,0
G3,8/13/13 14:20,0,0
C4,8/13/13 14:20,8/15/13 8:55,0
C3,8/13/13 14:20,8/15/13 4:40,0
A3,8/13/13 14:20,0,0
H3,8/13/13 14:20,8/14/13 14:55,0
H1,8/13/13 14:20,8/13/13 14:31,0
C2,8/13/13 14:20,8/13/13 15:17,0
F3,8/13/13 14:20,0,0
H2,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
F3,8/13/13 14:20,8/14/13 5:06,0
G3,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
A1,8/13/13 14:20,8/19/13 11:46,0
H3,8/13/13 14:20,8/13/13 14:24,0
B4,8/13/13 14:20,8/14/13 8:12,0
D2,8/13/13 14:20,0,0
A2,8/13/13 14:20,0,0
E4,8/13/13 14:20,0,0
H1,8/13/13 14:20,8/13/13 17:46,0
H2,8/13/13 14:20,8/13/13 17:09,0
H2,8/13/13 14:20,0,0
D4,8/13/13 14:20,0,0
G3,8/13/13 14:20,0,0
G2,8/13/13 14:20,0,0
D1,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
B2,8/13/13 14:20,8/17/13 16:38,0
A3,8/13/13 14:20,0,0
B4,8/13/13 14:20,0,0
F3,8/13/13 14:20,8/13/13 14:24,0
F2,8/13/13 14:20,8/13/13 14:34,0
G3,8/13/13 14:20,0,0
E1,8/13/13 14:20,8/13/13 15:11,0
A2,8/13/13 14:20,0,0
C1,8/13/13 14:20,0,0
D2,8/13/13 14:20,8/13/13 14:50,0
B2,8/13/13 14:20,0,0
F3,8/13/13 14:20,0,0
E3,8/13/13 14:20,8/13/13 14:41,0
F4,8/13/13 14:20,0,0
E3,8/13/13 14:20,8/13/13 19:51,0
B2,8/13/13 14:20,0,0
B1,8/13/13 14:20,0,0
G2,8/13/13 14:20,0,0
D4,8/13/13 14:20,8/13/13 14:29,0
B4,8/13/13 14:20,0,0
C1,8/13/13 14:20,0,0
E3,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
H1,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
B3,8/13/13 14:20,8/13/13 14:47,0
F2,8/13/13 14:20,8/14/13 9:49,0
B4,8/13/13 14:20,0,0
H3,8/13/13 14:20,8/13/13 14:54,0
F4,8/13/13 14:20,0,0
C3,8/13/13 14:20,8/16/13 12:36,0
A2,8/13/13 14:20,0,0
B1,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
B3,8/13/13 14:20,8/13/13 14:55,0
F4,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
G2,8/13/13 14:20,8/13/13 14:59,0
H3,8/13/13 14:20,8/13/13 19:52,0
A2,8/13/13 14:20,8/13/13 16:46,0
G3,8/13/13 14:20,8/13/13 14:38,0
H1,8/13/13 14:20,0,0
F3,8/13/13 14:20,0,0
F1,8/13/13 14:20,8/13/13 17:11,0
B3,8/13/13 14:20,0,0
A4,8/13/13 14:20,8/13/13 19:06,0
F1,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
G3,8/13/13 14:20,8/13/13 14:37,0
F4,8/13/13 14:20,0,0
E1,8/13/13 14:20,8/13/13 14:45,0
F2,8/13/13 14:20,8/14/13 11:05,0
E1,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
H4,8/13/13 14:20,0,0
F3,8/13/13 14:20,0,0
D1,8/13/13 14:20,0,0
F4,8/13/13 14:20,0,0
C4,8/13/13 14:20,0,0
A4,8/13/13 14:20,8/13/13 18:41,0
E4,8/13/13 14:20,8/13/13 18:10,0
D1,8/13/13 14:20,0,0
H4,8/13/13 14:20,0,0
E2,8/13/13 14:20,0,0
G1,8/13/13 14:20,8/13/13 14:48,0
F3,8/13/13 14:20,0,0
D4,8/13/13 14:20,0,0
B4,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
A2,8/13/13 14:20,8/13/13 15:06,0
E2,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
E1,8/13/13 14:20,0,0
B2,8/13/13 14:20,0,0
C2,8/13/13 14:20,8/13/13 14:20,0
H1,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
G3,8/13/13 14:20,8/13/13 22:00,0
G1,8/13/13 14:20,0,0
G1,8/13/13 14:20,0,0
H4,8/13/13 14:20,0,0
F3,8/13/13 14:20,8/13/13 19:35,8/13/13 19:35
A4,8/13/13 14:20,0,0
A4,8/13/13 14:20,8/13/13 14:28,0
A2,8/13/13 14:20,0,0
H2,8/13/13 14:20,0,0
D2,8/13/13 14:20,8/13/13 14:59,0
G4,8/13/13 14:20,8/13/13 17:41,0
C2,8/13/13 14:20,0,0
H1,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
E2,8/13/13 14:20,0,0
A4,8/13/13 14:20,0,0
G3,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
E4,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
C1,8/13/13 14:20,8/13/13 16:03,0
C3,8/13/13 14:20,0,0
G2,8/13/13 14:20,0,0
B4,8/13/13 14:20,8/13/13 15:52,0
B2,8/13/13 14:20,0,0
C2,8/13/13 14:20,8/13/13 23:14,0
B2,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
C2,8/13/13 14:20,8/13/13 15:06,0
C2,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
H4,8/13/13 14:20,0,0
C4,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
G3,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
A4,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
G1,8/13/13 14:20,0,0
B4,8/13/13 14:20,0,0
E2,8/13/13 14:20,8/13/13 15:18,0
H2,8/13/13 14:20,0,0
F4,8/13/13 14:20,0,0
E4,8/13/13 14:20,0,0
A3,8/13/13 14:20,8/14/13 11:40,0
E1,8/13/13 14:20,8/13/13 21:00,0
A3,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
G4,8/13/13 14:20,8/13/13 19:21,0
H2,8/13/13 14:20,8/13/13 14:22,0
D2,8/13/13 14:20,0,0
